Nome Cliente;cidade;estado;codigo;contrato;telefone
Srta. Pietro Carvalho;Vitória;São Paulo;1ad77de4-74ef-4023-991d-3e64c4fc6b91;139;(39) 41349-1783
Alexandre Xavier;Macapá;Rio Grande do Norte;21fed424-f4ef-45aa-8240-b725f350f20b;175;(57) 4097-7021
Cecília Martins;Campo Grande;Maranhão;dc938ade-5278-49bf-b1b0-691a1b5ee3af;323;(18) 7874-7079
Sarah Moreira;Natal;Amapá;f2fce022-2cc5-4ae2-ab22-d9359d5afa46;175;(36) 8616-0840
Isabelly Silva;Manaus;Mato Grosso do Sul;61ca2e2e-edff-49c2-9ed1-9ca48c4ce804;623;(77) 7213-0952
Vicente Macedo;Florianópolis;Distrito Federal;226ff24e-e134-4e5a-92b9-93b473765275;308;(32) 4366-2954
Eduardo Macedo Neto;Belém;Piauí;8f30b1db-3034-4b64-a3e8-09fc12cd6db6;785;(12) 3935-6920
Pedro Oliveira;Palmas;Pará;7d572a32-70b2-4714-8bdd-89698be64ea6;392;(76) 4358-3154
Suélen Silva;Goiânia;Maranhão;46bcb72c-72b8-42b8-b07f-50318a1ffe09;661;(77) 40885-3770
Lavínia Reis;Fortaleza;Bahia;2d4cf369-6109-440c-8c21-092e5cd596fb;947;(58) 6297-8976
Kléber Braga;Boa Vista;Rio de Janeiro;b1736f48-f04d-4c8b-8ed8-99a926dd16cf;147;(89) 44230-0202
Pietro Melo;Cuiabá;Rio Grande do Sul;84588973-60c5-4ab1-9ecf-b3effa8299f0;115;(88) 8664-1527
Maria Cecília Moraes;Boa Vista;Piauí;f8ab1dcc-92ae-4e02-9632-8f90547ed4bf;237;(54) 9590-5414
Guilherme Albuquerque;São Paulo;Paraíba;59e8007b-32d1-4e82-a64a-4116261b2260;290;(96) 9814-1390
Sra. Isaac Xavier;Curitiba;São Paulo;2aa40532-cd8d-471b-926c-c75db2f11197;323;(79) 5548-2030
Marina Martins;Recife;Rondônia;a4cf78f8-5ee0-42ed-a997-035291cb71dd;170;(44) 4487-0781
Maria Helena Costa;São Luís;Rio Grande do Sul;35eb092d-6874-4164-bd0e-71ed5c605eea;380;(91) 57065-7119
Samuel Xavier;Maceió;Ceará;ac02e0c8-cefe-4114-a564-f02217f3f1ab;314;(38) 1362-1475
Roberto Moraes;São Luís;São Paulo;66ba7163-c940-4b1a-a26d-f3c9adbf8f0b;334;(51) 3937-3843
Elisa Nogueira;João Pessoa;Paraná;dd137063-1e82-41ec-a42d-9385ea240c7b;740;(34) 97840-5043
Sr. Benjamin Souza;Natal;Minas Gerais;c808d603-89b0-44e9-a4a9-06fc7e3cdb8c;831;(59) 38599-8357
Arthur Barros;São Paulo;Ceará;d818e52f-33f8-4197-9a69-aaaf1569a2b3;652;(87) 2458-1233
